BCPYxWYIELD;Genes
[0.32583026665876513, 12.457865944590953];{'R_LYS4': 0.25, 'R_AGX1': 0.25, 'R_U222_': 0, 'R_U214_': 0.03125, 'R_U216_': 0, 'R_ACC1': 32, 'R_TRP5': 0.5}
[0.29012683064555866, 12.623105899721834];{'R_BPH1': 0, 'R_YGR012W': 4, 'R_U222_': 0, 'R_U214_': 0.03125, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32, 'R_U98_': 32}
[0.3039250889891986, 12.559807287124432];{'R_ADE13_2': 2, 'R_U222_': 0, 'R_ACC1': 32, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_U214_': 0}
[0.35909771177604843, 12.292970830853939];{'R_U222_': 0, 'R_U214_': 0.5, 'R_ACC1': 32}
[0.2630272877507737, 12.7528175851647];{'R_BPH1': 0, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_YGR012W': 2, 'R_U98_': 8, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U214_': 0.25, 'R_ACC1': 32}
[0.28530982344253764, 12.65877629517059];{'R_BPH1': 0, 'R_TPS3': 2, 'R_U222_': 0, 'R_U214_': 0.03125, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2990644797401762, 12.594208061319685];{'R_BPH1': 0, 'R_U222_': 0, 'R_U214_': 0.03125, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.289979840483764, 12.634954397426352];{'R_TPS3': 2, 'R_U222_': 0, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32, 'R_U214_': 0}
[0.2969608215094034, 12.600751759738575];{'R_BPH1': 0, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_U214_': 0.5, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2654503922177707, 12.74608716433179];{'R_BPH1': 0, 'R_U214_': 0.25, 'R_U222_': 0, 'R_YGR012W': 2, 'R_U98_': 8, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.24985528851810468, 12.833614707989142];{'R_U214_': 0.125, 'R_U222_': 0, 'R_MET22': 0.125, 'R_ADE13_2': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2743892978291674, 12.69479148714607];{'R_BPH1': 0, 'R_TPS3': 2, 'R_U222_': 0, 'R_LYS4': 0.125, 'R_IPP1': 0.25, 'R_U214_': 0.25, 'R_ACC1': 32, 'R_U98_': 32}
[0.2568210833463646, 12.77568795593595];{'R_BPH1': 0, 'R_U214_': 0.25, 'R_U222_': 0, 'R_YGR012W': 2, 'R_U98_': 8, 'R_LYS4': 0.125, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2878168109318148, 12.641388068895779];{'R_TPS3': 2, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_U214_': 0.5, 'R_TYR1': 0, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.3040078183211147, 12.462513231126348];{'R_TPS3': 2, 'R_U222_': 0, 'R_RKI1': 2, 'R_LYS4': 0.125, 'R_ILV2_2': 0.25, 'R_U109_': 0.5, 'R_U216_': 0, 'R_ACC1': 32, 'R_CO2xtO': 0.5}
[0.3058732684846762, 12.458322176649181];{'R_U222_': 0, 'R_ACC1': 32, 'R_RKI1': 2, 'R_LYS4': 0.125, 'R_U109_': 0.5, 'R_U216_': 0, 'R_ILV2_2': 0.25, 'R_CO2xtO': 0.5}
[0.3012845493464197, 12.576305525852018];{'R_LYS4': 0.25, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_U214_': 0.5, 'R_LSC2': 0.5, 'R_IPP1': 0.25, 'R_ACC1': 32}
[0.24210696030387782, 12.838722370954656];{'R_BPH1': 0, 'R_U222_': 0, 'R_TRP5': 2, 'R_U214_': 0.0625, 'R_DFR1_2': 8, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_ACC1': 32, 'R_U98_': 32}
[0.24390541145939365, 12.834825520910396];{'R_BPH1': 0, 'R_YGR012W': 4, 'R_U222_': 0, 'R_TRP5': 2, 'R_U214_': 0.03125, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.3777147534735687, 5.993972621899362];{'R_DFR1_2': 4, 'R_U222_': 0, 'R_ACC1': 16, 'R_YBR006WUGA2': 0, 'R_TRP5': 2, 'R_U214_': 0.0625, 'R_LSC2': 0.5, 'R_AGX1': 0.5}
[0.29305952144009545, 12.613669138307724];{'R_BPH1': 0, 'R_U214_': 0.25, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_YGR012W': 2, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.3351850201541318, 12.375570341375386];{'R_RKI1': 0.5, 'R_BPH1': 0, 'R_LYS4': 0.25, 'R_U214_': 0.25, 'R_U222_': 0, 'R_U227_': 0.5, 'R_U216_': 0, 'R_ACC1': 32, 'R_CO2xtO': 0.5}
[0.2566522410259454, 12.785836778939874];{'R_U222_': 0, 'R_TRP5': 2, 'R_U214_': 0.0625, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.3483016376358318, 12.333689091970975];{'R_BPH1': 0, 'R_LYS4': 0.25, 'R_AGX1': 0.25, 'R_U222_': 0, 'R_TRP5': 2, 'R_U214_': 0.0625, 'R_U109_': 0.5, 'R_ACC1': 32, 'R_CO2xtO': 0.5}
[0.2661857535039681, 12.73989089727905];{'R_BPH1': 0, 'R_U214_': 0.25, 'R_TPS3': 2, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_TRP5': 2, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.3890575972133886, 5.973691302127693];{'R_U222_': 0, 'R_ACC1': 16, 'R_U214_': 0.25}
[0.2695778321849395, 12.732574884951728];{'R_BPH1': 0, 'R_U222_': 0, 'R_U214_': 0.03125, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.267530409714638, 12.736044551272586];{'R_BPH1': 0, 'R_U222_': 0, 'R_MET22': 0.125, 'R_U214_': 0.5, 'R_U98_': 8, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2498954087875168, 12.814511858073828];{'R_BPH1': 0, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_U214_': 0.5, 'R_TRP5': 2, 'R_U98_': 8, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_ACC1': 32}
[0.273992241820438, 12.710075906160805];{'R_U214_': 0.25, 'R_U222_': 0, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.28532150737982814, 12.649590301755225];{'R_DFR1_2': 4, 'R_TPS3': 2, 'R_U98_': 2, 'R_U222_': 0, 'R_U214_': 0.5, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2855861134061776, 12.645606344707222];{'R_TPS3': 2, 'R_U222_': 0, 'R_MET22': 0.125, 'R_DFR1_2': 2, 'R_U214_': 0.03125, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2774826870673931, 12.68263198876122];{'R_DFR1_2': 4, 'R_BPH1': 0, 'R_U222_': 0, 'R_U98_': 16, 'R_TRP5': 2, 'R_U214_': 0.0625, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2524817990425548, 12.807181767447643];{'R_BPH1': 0, 'R_U214_': 0.25, 'R_U222_': 0, 'R_TRP5': 2, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2504407944804248, 12.810546001414977];{'R_BPH1': 0, 'R_U222_': 0, 'R_MET22': 0.125, 'R_U214_': 0.5, 'R_TRP5': 2, 'R_U98_': 8, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_ACC1': 32}
[0.299191529263317, 12.584140098342429];{'R_DFR1_2': 4, 'R_LYS4': 0.25, 'R_U222_': 0, 'R_U98_': 8, 'R_U216_': 0, 'R_IPP1': 0.25, 'R_U214_': 0.25, 'R_ACC1': 32}
[0.2993524576070583, 12.580232483671885];{'R_U222_': 0, 'R_MET22': 0.125, 'R_DFR1_2': 2, 'R_ACC1': 32, 'R_U216_': 0, 'R_IPP1': 0.25, 'R_U214_': 0.25}
[0.33414599815286833, 12.37962093824558];{'R_LYS4': 0.25, 'R_U222_': 0, 'R_TRP5': 2, 'R_U216_': 0, 'R_U109_': 0.5, 'R_U214_': 0.03125, 'R_RKI1': 0.0625, 'R_ACC1': 32, 'R_CO2xtO': 0.5}
[0.25476482607831136, 12.789497381087246];{'R_U214_': 0.25, 'R_U222_': 0, 'R_MET22': 0.125, 'R_TRP5': 2, 'R_U98_': 8, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2696919955977028, 12.72065769995845];{'R_U222_': 0, 'R_MET22': 0.125, 'R_DFR1_2': 2, 'R_U214_': 0.5, 'R_U98_': 8, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2719868181993302, 12.713530417459598];{'R_U222_': 0, 'R_MET22': 0.125, 'R_U214_': 0.03125, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2713901875328576, 12.717270146813709];{'R_U222_': 0, 'R_DFR1_2': 2, 'R_U214_': 0.5, 'R_U98_': 8, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_ACC1': 32}
[0.3496239580095867, 12.329828146348245];{'R_BPH1': 0, 'R_LYS4': 0.25, 'R_U222_': 0, 'R_U227_': 0.5, 'R_U214_': 0.25, 'R_ACC1': 32}
[0.25810260278252123, 12.771016579520605];{'R_BPH1': 0, 'R_U214_': 0.25, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_LYS4': 0.125, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32, 'R_U98_': 32}
[0.258945781653254, 12.767400605513432];{'R_U214_': 0.125, 'R_BPH1': 0, 'R_YGR012W': 4, 'R_U222_': 0, 'R_DFR1_2': 2, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.2542820539633765, 12.793350357139818];{'R_U222_': 0, 'R_DFR1_2': 2, 'R_U214_': 0.5, 'R_TRP5': 2, 'R_U98_': 8, 'R_TPS3': 4, 'R_IPP1': 0.25, 'R_U216_': 0, 'R_ACC1': 32}
[0.38409041132464355, 5.979559479141626];{'R_RKI1': 0, 'R_U98_': 8, 'R_MET22': 0.5, 'R_U222_': 0, 'R_ACC1': 16, 'R_U214_': 0.25, 'R_ILV2_2': 0.5}
[0.3866644852010275, 5.976948337194243];{'R_RKI1': 0, 'R_U214_': 0.125, 'R_MET22': 0.5, 'R_U222_': 0, 'R_ACC1': 16}
