BCPYxWYIELD;Genes
[0.42744485472975136, 7.2406539376739865];{'R_PRO1': 0, 'R_AGX1': 0.5, 'R_PYC2': 4, 'R_TRP4': 2, 'R_ACC1': 16, 'R_U110_': 0.5, 'R_U214_': 0.0625, 'R_HOM3': 0.5, 'R_SER1_1': 0.5, 'R_U222_': 0}
[0.4247563174199558, 7.345627480624149];{'R_PRO1': 0, 'R_PYC2': 4, 'R_AGX1': 0.25, 'R_TRP4': 2, 'R_ACC1': 16, 'R_U110_': 0.5, 'R_U214_': 0.0625, 'R_HOM3': 0.5, 'R_SER1_1': 0.5, 'R_U222_': 0}
[0.4287166305244968, 7.105888440459108];{'R_PYC2': 4, 'R_ACC1': 16, 'R_AGX1': 0, 'R_U110_': 0.5, 'R_U214_': 0.0625, 'R_HOM3': 0.5, 'R_SER1_1': 0.5, 'R_U222_': 0}
[0.4207238079219259, 7.37017065209239];{'R_PRO1': 0, 'R_PYC2': 4, 'R_U129_': 0.25, 'R_AGX1': 0.25, 'R_ACC1': 16, 'R_U110_': 0.5, 'R_U214_': 0.0625, 'R_HOM3': 0.5, 'R_SER1_1': 0.5, 'R_U222_': 0}
[0.43160449945236523, 7.075280783926649];{'R_AKG1': 32, 'R_PYC2': 4, 'R_PRO1': 0.125, 'R_ACC1': 16, 'R_U110_': 0.5, 'R_U214_': 0.0625, 'R_HOM3': 0.5, 'R_AGX1': 0.0625, 'R_SER1_1': 0.5, 'R_U222_': 0}
[0.43116705644972175, 7.0893775309706];{'R_AKG1': 32, 'R_PYC2': 4, 'R_PRO1': 0.125, 'R_AGX1': 0.03125, 'R_ACC1': 16, 'R_U110_': 0.5, 'R_HOM3': 0.5, 'R_SER1_1': 0.5, 'R_U214_': 0.5, 'R_U222_': 0}
[0.254969547317255, 12.798959565038874];{'R_SER1_1': 0.25, 'R_HOM3': 0.25, 'R_U129_': 0.125, 'R_AGX1': 0.125, 'R_U222_': 0, 'R_U214_': 0.5, 'R_ACC1': 32}
[0.4071690292406186, 7.446158312623421];{'R_PYC2': 4, 'R_PRO1': 0.125, 'R_U129_': 0.25, 'R_ALT2': 0.25, 'R_ACC1': 16, 'R_U110_': 0.5, 'R_U214_': 2, 'R_HOM3': 0.5, 'R_SER1_1': 0.5, 'R_U222_': 0}
[0.4181435249960586, 7.3854448520321885];{'R_PRO1': 0, 'R_PYC2': 4, 'R_TRP4': 2, 'R_ACC1': 16, 'R_U110_': 0.5, 'R_HOM3': 0.5, 'R_AGX1': 0.0625, 'R_SER1_1': 0.5, 'R_U222_': 0}
[0.41757692192484236, 7.398346997772499];{'R_PRO1': 0, 'R_PYC2': 4, 'R_AGX1': 0.03125, 'R_TRP4': 2, 'R_ACC1': 16, 'R_U110_': 0.5, 'R_HOM3': 0.5, 'R_SER1_1': 0.5, 'R_U222_': 0}
[0.41694877984992673, 7.410853896975555];{'R_PRO1': 0, 'R_PYC2': 4, 'R_TRP4': 2, 'R_ACC1': 16, 'R_AGX1': 0, 'R_U110_': 0.5, 'R_HOM3': 0.5, 'R_SER1_1': 0.5, 'R_U222_': 0}
[0.4083466229905557, 7.432960309873488];{'R_MET22': 0.25, 'R_PYC2': 4, 'R_TRP4': 2, 'R_ACC1': 16, 'R_AGX1': 0, 'R_U110_': 0.5, 'R_U214_': 2, 'R_HOM3': 0.5, 'R_SER1_1': 0.5, 'R_U222_': 0}
